"Titulo","Valor","Link"
"Jogo Playstation 4 (PS4) - Lego City Undercover","R$ 100","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-playstation-4-ps4-lego-city-undercover-817202148"
"Conserto Controle playstation ps4 Dualshock Quebrado ou Com Defeito","","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/servicos/conserto-controle-playstation-ps4-dualshock-quebrado-ou-com-defeito-821562295"
"Troco por PS4 Playstation 4. E dou mais um valor","","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/troco-por-ps4-playstation-4-e-dou-mais-um-valor-820041836"
"Playstation 4 Slim 1TB Usado + 10 Jogos","R$ 2.500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-1tb-usado-10-jogos-820136678"
"Jogo para playstation 4 sniper elite 3","R$ 80","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-para-playstation-4-sniper-elite-3-744347683"
"Playstation 4 Slim 1TB - 3 Jogos - Garantia","R$ 2.599","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-1tb-3-jogos-garantia-820818227"
"Playstation 3 super slim 500gb com 1 controle","R$ 900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-super-slim-500gb-com-1-controle-726371274"
"Aim Controller PlayStation Vr Gun-Ps4","R$ 800","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/aim-controller-playstation-vr-gun-ps4-820018259"
"PlayStation 5Branco, Novo/Lacrado c/ NF","R$ 7.000","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-5branco-novo-lacrado-c-nf-819915247"
"PlayStation Vita TV preto","R$ 900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-vita-tv-preto-819106561"
"Controle Playstation 4 Original Sony Semi Novo","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-playstation-4-original-sony-semi-novo-774811765"
"Playstation 4 PRO 1TB 4K - Sony","R$ 2.999","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-4-pro-1tb-4k-sony-819898832"
"Playstation 2 com 1 Controle + pendrive com opl instalado","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-com-1-controle-pendrive-com-opl-instalado-774363512"
"Playstation 3 Super Slim 500gb com 1 controle","R$ 900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-super-slim-500gb-com-1-controle-675790150"
"PlayStation 3 slim com 13 jogos ","R$ 800","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-slim-com-13-jogos-819483603"
"Controle Playstation 5","R$ 529","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-playstation-5-818938088"
"Playstation 4 Pró","R$ 3.599","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-818936489"
"Playstation 4 capitão América com GTA 5 e um controle","R$ 1.650","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-capitao-america-com-gta-5-e-um-controle-820597059"
"PlayStation 2 PS2 completo desbloqueado","R$ 299","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-ps2-completo-desbloqueado-819371248"
"Controle Playstation 5","R$ 529","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-playstation-5-818877297"
"PS5 Playstation 5 * Pronta Entrega !","R$ 6.999","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps5-playstation-5-pronta-entrega-819376014"
"Playstation 4 Pró","R$ 3.599","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-818878422"
"Playstation 4 Pro + 8 Jogos","R$ 2.500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-8-jogos-819316769"
"Playstation 2 com opl instalado + jogos na memoria","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-com-opl-instalado-jogos-na-memoria-796845903"
"Playstation 4 500GB * Excelente * Garantia * Cartão até 10X","R$ 1.649","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-500gb-excelente-garantia-cartao-ate-10x-821605754"
"PlayStation 3 super slim +jogos + Garantia ","R$ 699","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-super-slim-jogos-garantia-819605737"
"Playstation 3 - PS3 Bloqueado Original Novo sem defeitos","R$ 550","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-ps3-bloqueado-original-novo-sem-defeitos-820034307"
"The last guardian de playstation 4","R$ 80","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/the-last-guardian-de-playstation-4-772955676"
"PS3 / Playstation 3 - Promoção - Semi Novo - Original - com Garantia","R$ 699","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps3-playstation-3-promocao-semi-novo-original-com-garantia-821150867"
"PS2 / Playstation 2 - Promoção - Semi Novo - Original - com Garantia","R$ 349","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps2-playstation-2-promocao-semi-novo-original-com-garantia-821120417"
"Conserto Controle playstation ps4 Dualshock Quebrado ou Com Defeito","","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/servicos/conserto-controle-playstation-ps4-dualshock-quebrado-ou-com-defeito-819964629"
"Controle Playstation 2","R$ 35","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-playstation-2-818762765"
"Playstation 3 Com jogos 250g","R$ 1.000","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-3-com-jogos-250g-818937948"
"Playstation 2 Raridade","R$ 230","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-raridade-818678053"
"Playstation 3 Com jogos 250g","R$ 1.000","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-3-com-jogos-250g-818937948"
"Playstation 2 Raridade","R$ 230","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-raridade-818678053"
"Jogos de Playstation 4!!! ","R$ 0","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-de-playstation-4-818666266"
"PlayStation 4 sujeito a qualquer teste valor 1650$","R$ 1.650","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-sujeito-a-qualquer-teste-valor-1650-819320171"
"PlayStation 3 Slim 4 Jogos até 12x no cartão ","R$ 600","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-slim-4-jogos-ate-12x-no-cartao-820348855"
"Playstation 2 (Leia com atenção) !","R$ 100","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-leia-com-atencao-818877217"
"PlayStation 2 em excelente estado de conservação, com cartão de memória de 8 Mb. ","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-em-excelente-estado-de-conservacao-com-cartao-de-memoria-de-8-mb-821428046"
"CONSOLE PLAYSTATION 5, BRANCO, NOVO/LACRADO C/ NF","R$ 7.000","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/console-playstation-5-branco-novo-lacrado-c-nf-820021207"
"PlayStation 4 completo call of duty em cd sujeito a testes ","R$ 1.650","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-completo-call-of-duty-em-cd-sujeito-a-testes-820865822"
"Playstation 3 seminovo s.slim com 500gb de hd","R$ 900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-seminovo-s-slim-com-500gb-de-hd-772637618"
"PLAYSTATION 5, Branco, Novo/Lacrado c/ Nota Fiscal ","R$ 7.000","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-5-branco-novo-lacrado-c-nota-fiscal-819917543"
"Playstation 4 pro. Para retirada de peças ou mandar consertar","R$ 950","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/playstation-4-pro-para-retirada-de-pecas-ou-mandar-consertar-819937119"
"Playstation 4 Slim 500 GB Prata com câmera - Edição Limitada","R$ 2.300","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-500-gb-prata-com-camera-edicao-limitada-817502382"
"PlayStation 2 em excelente estado de conservação, com cartão de memória de 8 Mb. ","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-em-excelente-estado-de-conservacao-com-cartao-de-memoria-de-8-mb-820469220"
"Playstation 3 Super Slim hd 1Tb com 1 Controle + 5 Jogos","R$ 1.000","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-super-slim-hd-1tb-com-1-controle-5-jogos-774362996"
"PlayStation 2 em excelente estado de conservação, com cartão de memória de 8 Mb.","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-em-excelente-estado-de-conservacao-com-cartao-de-memoria-de-8-mb-819957284"
"Playstation 4 500 GB Com Controle Semi-Novo + 4 jogos","R$ 1.600","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/playstation-4-500-gb-com-controle-semi-novo-4-jogos-812522932"
"Sombras de mordor de playstation 3","R$ 70","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/sombras-de-mordor-de-playstation-3-730900603"
"PlayStation 4","R$ 1.600","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-818565081"
"PlayStation 2 em excelente estado de conservação, com cartão de memória de 8 Mb. ","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-em-excelente-estado-de-conservacao-com-cartao-de-memoria-de-8-mb-820190298"
"PlayStation 4 PRO 1tb","R$ 2.399","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-1tb-818663668"
"PlayStation 4 - PS4 c/ 2 controles + 5 jogos - Estado de novo!","R$ 1.950","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-4-ps4-c-2-controles-5-jogos-estado-de-novo-821345949"
"Playstation 2  "otimo estado"","R$ 240","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/audio-tv-video-e-fotografia/playstation-2-otimo-estado-818696034"
"Playstation 3 super slim 250gb com 1 controle","R$ 800","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-super-slim-250gb-com-1-controle-819120324"
"Controle Ps3 Playstation 3 / Xbox 360 - Original - Semi Novo - Com Garantia","","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-ps3-playstation-3-xbox-360-original-semi-novo-com-garantia-821171458"
"PlayStation 4 Slim Branco Impecável + Controle na Garantia","R$ 1.850","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-branco-impecavel-controle-na-garantia-819317875"
"Playstation 2","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-806582790"
"Jogo de PlayStation 4 FIFA 18 ","R$ 20","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-de-playstation-4-fifa-18-818907494"
"8 jogos ps3 Sony Playstation God of War Watch Dogs","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/8-jogos-ps3-sony-playstation-god-of-war-watch-dogs-820983113"
"Playstation 2 ","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-818524279"
"Jogo de PlayStation 3 FIFA 14","R$ 29","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-de-playstation-3-fifa-14-818909034"
"Jogo de PlayStation 4 FarCry Primal","R$ 39","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-de-playstation-4-farcry-primal-818908894"
"Jogo de PlayStation 4 NBA 2K16","R$ 30","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-de-playstation-4-nba-2k16-818905925"
"PlayStation 2 Slim modelo SCPH 90006 para retirada de peças","R$ 50","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-2-slim-modelo-scph-90006-para-retirada-de-pecas-819714364"
"Playstation 5 " Capinha de Silicone para controle de PS5"","R$ 99","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-5-capinha-de-silicone-para-controle-de-ps5-819245595"
"Playstation 4 slim 500gb usado em Porto Alegre","R$ 2.700","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-500gb-usado-em-porto-alegre-819234511"
"Não Queime seu Console! Limpeza e Troca Pasta Termica Ps4 Playstation 4","","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/servicos/nao-queime-seu-console-limpeza-e-troca-pasta-termica-ps4-playstation-4-819924308"
"PlayStation 4 com dois controles e cinco jogos","R$ 1.900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-com-dois-controles-e-cinco-jogos-819037940"
"Farcry 4 para playstation 4","R$ 70","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/farcry-4-para-playstation-4-768706043"
"Anarchy reigns para playstation 3","R$ 50","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/anarchy-reigns-para-playstation-3-731421966"
"PlayStation 4 pro 1 terá ","R$ 2.500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-1-tera-818757294"
"Dragon age 2 de playstation 3","R$ 50","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/dragon-age-2-de-playstation-3-730897881"
"Playstation 3 Super Slim 250gb + 3 Jogos Originais ","R$ 800","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-super-slim-250gb-3-jogos-originais-819148019"
"PS4 Playstation 4 Slim c/ 3 Jogos * Produto Novo * Garantia 1 ano","R$ 2.549","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps4-playstation-4-slim-c-3-jogos-produto-novo-garantia-1-ano-820710997"
"Vendo Playstation 4","R$ 2.000","https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/videogames/vendo-playstation-4-818530532"
"Playstation 4 Slim 500 GB, Usado, com 2 controles, 10 jogos e 1 filme","R$ 2.000","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-500-gb-usado-com-2-controles-10-jogos-e-1-filme-820358442"
"Controle Playstation 4 Original semi novo","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-playstation-4-original-semi-novo-796036283"
"Jogos Playstation 3","R$ 40","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-playstation-3-785228880"
"Gatilhos L,R para playstation 4","R$ 30","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/gatilhos-l-r-para-playstation-4-732021953"
"Conserto Controle playstation ps4 Dualshock Quebrado ou Com Defeito","","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/servicos/conserto-controle-playstation-ps4-dualshock-quebrado-ou-com-defeito-818978537"
"Controle Playstation 4 Original semi novo","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-playstation-4-original-semi-novo-796036283"
"Jogo de PlayStation 4 Need for Speed Rivals","R$ 50","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-de-playstation-4-need-for-speed-rivals-818906062"
"Console PlayStation 5, Branco , novo/lacrado/c nota fiscal/ peça única. ","R$ 7.000","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/console-playstation-5-branco-novo-lacrado-c-nota-fiscal-peca-unica-819805611"
"Dragon quest builders para playstation 4","R$ 120","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/dragon-quest-builders-para-playstation-4-768705835"
"Playstation 3 Semi Novo Com vários Jogos 250G","R$ 1.000","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-3-semi-novo-com-varios-jogos-250g-818910610"
"Playstation 4 - PS4 Slim - NOVO","R$ 2.349","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-ps4-slim-novo-798742021"
"Carregador de Controle Playstation<br><br>","R$ 100","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/carregador-de-controle-playstation-br-br-784067232"
"Jogos PlayStation 3","R$ 650","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/cds-dvds/jogos-playstation-3-818447149"
"Ps4 Playstation 4 * Pronta Entrega * Loja Fisíca","R$ 1.799","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps4-playstation-4-pronta-entrega-loja-fisica-818788378"
"Playstation 2","R$ 149","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-818263923"
"Move Playstation 3","R$ 199","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/move-playstation-3-781008942"
"Jogo Titanfall 2 Playstation 4 PS4 Novo Lacrado","R$ 70","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-titanfall-2-playstation-4-ps4-novo-lacrado-818934219"
"Playstation 3","R$ 700","https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/videogames/playstation-3-818222580"
"Jogo de PlayStation 3 Copa do Mundo da FIFA Brasil 2014","R$ 15","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-de-playstation-3-copa-do-mundo-da-fifa-brasil-2014-818909815"
"Vendo Playstation 2 Fat Branco desbloqueado Edição GT55000 com jogo original","R$ 1.200","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/vendo-playstation-2-fat-branco-desbloqueado-edicao-gt55000-com-jogo-original-819287711"
"PlayStation 2 - Pes 2008 Original","R$ 20","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-pes-2008-original-818627127"
"PlayStation 4 pro 1tb","R$ 3.499","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-1tb-817020045"
"Playstation 4 slim 1tb com 3 jogos em 10x 279,99 sem juros, poucas unidades","R$ 2.799","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-1tb-com-3-jogos-em-10x-279-99-sem-juros-poucas-unidades-819345158"
"PlayStation 4 PRO 1TB Star Wars Limited Edition","R$ 3.500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-1tb-star-wars-limited-edition-818819856"
"Playstation 4 PRO -The Last Of Us 1TB- Edição Limitada - Somos Loja!! - NOVO / Nota Fiscal","R$ 4.999","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-the-last-of-us-1tb-edicao-limitada-somos-loja--novo-nota-fiscal-821117040"
"Adaptador Samsung Playstation 2","R$ 40","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/adaptador-samsung-playstation-2-818449572"
"Controle Joystick Sony Ps2 Dualshock Playstation 2 Preto","R$ 145","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-joystick-sony-ps2-dualshock-playstation-2-preto-818787636"
"Playstation 4 slim usado","R$ 1.900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-usado-818414698"
"PlayStation 4 Pro com Caixa","R$ 4.000","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-4-pro-com-caixa-818417206"
"Jogo The Division 2 Playstation 4 PS4 Novo Lacrado","R$ 80","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-the-division-2-playstation-4-ps4-novo-lacrado-818907107"
"PLAYSTATION 4 SLIM 1TB COM CONTROLE E UM JOGO","R$ 1.950","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-1tb-com-controle-e-um-jogo-818601809"
"Playstation 3 super slim bloqueado 250 gb revisado com 80 jogos em 10x sem juros","R$ 899","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-super-slim-bloqueado-250-gb-revisado-com-80-jogos-em-10x-sem-juros-819369117"
"Playstation 4 + Dualshock4 - Mod. FAT, Versão 2, HD 500GB","R$ 1.700","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-dualshock4-mod-fat-versao-2-hd-500gb-818790148"
"Playstation 4 PRO -The Last Of Us 1TB- Edição Limitada - Somos Loja!! - NOVO / Nota Fiscal","R$ 4.999","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-the-last-of-us-1tb-edicao-limitada-somos-loja--novo-nota-fiscal-819788441"
"Playstation 5 (Leia a Descrição)","R$ 6.500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-5-leia-a-descricao-818272501"
"Playstation 1 FAT + Jogos + Cabos + Memory card","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-1-fat-jogos-cabos-memory-card-818600113"
"Playstation 4","R$ 2.000","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-818147088"
"Console Playstation 4 1TB Slim + 3 Jogos Bundle - Conforme Imagem","R$ 2.699","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/console-playstation-4-1tb-slim-3-jogos-bundle-conforme-imagem-812940602"
"Jogos PlayStation 3","R$ 130","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-playstation-3-818166654"
"PlayStation 4 na garantia ","R$ 2.049","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-na-garantia-818174225"
"Playstation 1 Fat Original bloqueado modelo Europeu ","R$ 300","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-1-fat-original-bloqueado-modelo-europeu-801079296"
"Jogos PS3 PlayStation ","R$ 70","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-ps3-playstation-818145508"
"PlayStation 4 Slim","R$ 1.800","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-818124940"
"Playstation 4","R$ 2.000","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-817971823"
"Playstation 2 FAT + Controles + Cabos + Fonte + Jogos+Maleta+ Memory Card","R$ 650","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-fat-controles-cabos-fonte-jogos-maleta-memory-card-818608962"
"Vendo PlayStation 2 ","R$ 200","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/vendo-playstation-2-818055957"
"Vendo ps4 /R$:1.400","R$ 1.400","https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/videogames/vendo-ps4-r-1-400-821660088"
"Ps4 - lego marvel SH2 e  lego vingadores","R$ 100","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps4-lego-marvel-sh2-e-lego-vingadores-821646146"
"Jogos de Play 4","R$ 100","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-de-play-4-821640228"
"Ps4 Slim 500Gb ","R$ 1.500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps4-slim-500gb-821637235"
"Volante Logitech G29","R$ 1.700","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/volante-logitech-g29-821628549"
"Headset sony pulse elite","R$ 150","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/headset-sony-pulse-elite-821677865"
"Jogos PS3","R$ 1","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-ps3-821615598"
"Jogo ps4 resident evil 7","R$ 80","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-ps4-resident-evil-7-821609980"
"PS4 Slim 1TB c/ Jogo * NF + Garantia * Cartão até 10X","R$ 1.949","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps4-slim-1tb-c-jogo-nf-garantia-cartao-ate-10x-821592704"
"Controle ps4","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-ps4-821574063"
"Cyberpunk Ps4 e Xbox one","R$ 269","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/cyberpunk-ps4-e-xbox-one-821572912"
