"Titulo","Valor","Link"
"Ps VR PlayStation","R$ 1.500","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/ps-vr-playstation-821648149"
"Jogos de Playstation 4","R$ 1","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-de-playstation-4-821009959"
"Playstation 4 - ps4","R$ 1.300","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-4-ps4-820982751"
"Playstation 3 completo ","R$ 580","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/audio-tv-video-e-fotografia/playstation-3-completo-809106454"
"Jogos de PlayStation 3 ","R$ 30","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-de-playstation-3-821077186"
"PlayStation 4 (PS4)","R$ 1.950","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-ps4-820594347"
"Jogos de PlayStation 3 ","R$ 30","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-de-playstation-3-821077186"
"Playstation 3 (usado)","R$ 1.300","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-usado-821427901"
"Controle de playstation 4","R$ 450","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-de-playstation-4-774052820"
"Playstation 2","R$ 300","https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/videogames/playstation-2-819752948"
"PlayStation 2","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-819742841"
"PLAYSTATION 4 COMPLETO","R$ 2.200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-completo-821215565"
"Playstation 4 - 1TB","R$ 1.900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-1tb-820839592"
"Jogos de Playstation 2","R$ 50","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-de-playstation-2-820815017"
"Playstation 4 pro","R$ 3.500","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/playstation-4-pro-820785835"
"Jogo de Playstation 3","R$ 35","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-de-playstation-3-820777705"
"Playstation 4 ","R$ 2.200","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-4-815160114"
"Playstation 3 + jogos","R$ 500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-jogos-811716139"
"PlayStation 4 - PS4","R$ 2.500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-ps4-819315602"
"Playstation 4 Slim","R$ 2.200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-820810879"
"PlayStation 4 com defeito","R$ 600","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-com-defeito-820780803"
"Playstation 2","R$ 160","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/playstation-2-819553636"
"Playstation 4 Pro","R$ 2.200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-820307127"
"PlayStation one completo ","R$ 300","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-one-completo-820203175"
"Pistola de ps.move playstation","R$ 100","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/pistola-de-ps-move-playstation-775667895"
"Playstation 3 Slim 232Gb","R$ 600","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-slim-232gb-821622380"
"PlayStation 4 ( loja Srgames)","R$ 1.800","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-loja-srgames-819394643"
"PlayStation 4 ( loja Srgames )","R$ 1.800","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-loja-srgames-821511934"
"Playstation 1 (Leia com atenção) !","R$ 90","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-1-leia-com-atencao-818863576"
"Jogos para Playstation 4","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-para-playstation-4-817671042"
"Playstation 4 Web Cam","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/computadores-e-acessorios/playstation-4-web-cam-811971679"
"Playstation 2 Pouquíssimo usado","R$ 850","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-pouquissimo-usado-821107900"
"Playstation 2 via pendrive","R$ 270","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-via-pendrive-821006758"
"PlayStation 4","R$ 2.000","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-819407863"
"PS4 completo. Playstation 4","R$ 1.800","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps4-completo-playstation-4-809818033"
"Playstation 4 semi novo ","R$ 1.650","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-semi-novo-812324846"
"Cabo de força playstation","R$ 20","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/cabo-de-forca-playstation-775659718"
